# CSV-File created with merge-csv.com,,,,,,,,,,,
# -----------------------------------------------------------,,,,,,,,,,,
,,,,,,,,,,,
List Sekolah SMA,,,,,,,,,,,
No,Nama Sekolah,NPSN,BP,Status,Latitude & Longitude,,,,,,
3,SMP NEGERI 74,70008575,SMP,Negeri,"-6.886110461419815, 107.59177859454049",,,,,,
3,SMP JENDERAL SUDIRMAN,20252350,SMP,Swasta,"-6.932699083687709, 107.59270303871844",,,,,,
3,SMP NEGERI 4,20219416,SMP,Negeri,"-6.920965078788511, 107.6260218871585",,,,,,
3,SMP NEGERI 65,70007926,SMP,Negeri,"-6.9665150486441, 107.66686478289618",,,,,,
3,SMP AL HADI BANDUNG,20219193,SMP,Swasta,"-6.903968087663498, 107.66735623495369",,,,,,
3,SMP BINA SARANA CENDEKIA,69946751,SMP,Swasta,,,,,,,
3,SMP NEGERI 44,20219385,SMP,Negeri,,,,,,,
3,SMP HARAPAN KASIH,69947366,SMP,Swasta,,,,,,,
3,SMP ADVENT NARIPAN,20219221,SMP,Swasta,,,,,,,
3,SMP NEGERI 72,70007927,SMP,Negeri,,,,,,,
3,SMP BUNGA BANGSA,20219201,SMP,Swasta,,,,,,,
3,SMP GRACIA,20258520,SMP,Swasta,,,,,,,
3,SMP AL-IHSAN CIMENCRANG,69974577,SMP,Swasta,,,,,,,
3,SMP SANTO ALOYSIUS 2,20219361,SMP,Swasta,,,,,,,
4,SMP ADVENT II BANDUNG,20219207,SMP,Swasta,,,,,,,
4,SMP BPI 1,20219195,SMP,Swasta,,,,,,,
4,SMP NEGERI 6,20219398,SMP,Negeri,,,,,,,
4,SMP NEGERI 9,20219394,SMP,Negeri,,,,,,,
4,SMP ITQAN ISLAMIC SCHOOL,70042864,SMP,Swasta,,,,,,,
4,SMP BPPI BOJONG,20219202,SMP,Swasta,,,,,,,
4,SMP BINTANG MADANI,69985720,SMP,Swasta,,,,,,,
4,SMP DAARUL QURAN,20279855,SMP,Swasta,,,,,,,
4,SMP BINA DHARMA 2,20251919,SMP,Swasta,,,,,,,
4,SMP NEGERI 43,20219386,SMP,Negeri,,,,,,,
4,SMP NEGERI 70,70008562,SMP,Negeri,,,,,,,
4,SMP BANDUNG INSTITUT,20219186,SMP,Swasta,,,,,,,
4,SMP AL-KAUTSAR LABSCHOOL,70044626,SMP,Swasta,,,,,,,
4,SMP MUHAMMADIYAH 8,20219438,SMP,Swasta,,,,,,,
4,SMP NEGERI 73,70007928,SMP,Negeri,,,,,,,
4,SMP INDONESIA RAYA,20219454,SMP,Swasta,,,,,,,
4,SMP NUSANTARA,20219500,SMP,Swasta,,,,,,,
4,SMP NEGERI 62,69989954,SMP,Negeri,,,,,,,
4,SMP ISLAM TERPADU AL FITRAH,70042865,SMP,Swasta,,,,,,,
4,SMP TUNAS UNGGUL,60724618,SMP,Swasta,,,,,,,
4,SMP ISLAM TERPADU AL-IRSYAD,70003596,SMP,Swasta,,,,,,,
4,SMP NEGERI 7,20219397,SMP,Negeri,,,,,,,
4,SMP KRISTEN BPK PENABUR SINGGASANA,69907014,SMP,Swasta,,,,,,,
4,SMP BANDUNG ISLAMIC SCHOOL,70031987,SMP,Swasta,,,,,,,
4,SMP AL BIRUNI CERDAS MULIA,60726014,SMP,Swasta,,,,,,,
4,SMP KRISTEN HIDUP BARU,20219469,SMP,Swasta,,,,,,,
4,SMP KRISTEN GAMALIEL,20253821,SMP,Swasta,,,,,,,
4,SMP EL FITRA,70004885,SMP,Swasta,,,,,,,
5,SMP AL FALAH,20219206,SMP,Swasta,,,,,,,
5,SMP ISLAM AL-AZHAR 36,69953867,SMP,Swasta,,,,,,,
5,SMP NEGERI 67,70008559,SMP,Negeri,,,,,,,
5,SMP ANGKASA LANUD HUSEIN SASTRANEGARA,20219189,SMP,Swasta,,,,,,,
5,SMP LANGLANGBUANA 1,20219428,SMP,Swasta,,,,,,,
